id,title,company,location,skills,description
1,Python Developer,Tech Solutions,Hyderabad,"python, flask, django, mysql, git","Develop and maintain Python web applications."
2,Java Developer,Infosys,Hyderabad,"java, spring, sql, mysql, git","Develop enterprise Java applications and backend services."
3,Frontend Developer,TCS,Bangalore,"html, css, javascript, react, git","Build responsive and interactive web applications."
4,Full Stack Developer,Tech Mahindra,Hyderabad,"html, css, javascript, python, flask, mysql","Develop frontend and backend web applications."
5,Data Analyst,Accenture,Bangalore,"python, sql, mysql, pandas, numpy","Analyze data and prepare business reports."
6,Machine Learning Engineer,Wipro,Hyderabad,"python, machine learning, pandas, numpy, scikit-learn","Build and evaluate machine learning models."
7,Software Engineer,Cognizant,Pune,"java, python, sql, git, mysql","Develop software applications and database solutions."
8,Backend Developer,Capgemini,Chennai,"python, flask, sql, mysql, git","Develop backend APIs and server-side applications."
9,Web Developer,HCL,Hyderabad,"html, css, javascript, mysql","Create and maintain web applications."
10,AI Engineer,Tech Innovations,Bangalore,"python, artificial intelligence, machine learning, nlp","Develop AI-based software solutions."
11,Python Backend Developer,IBM,Hyderabad,"python, django, flask, rest api, mysql, git","Develop scalable Python backend services and APIs."
12,Java Backend Developer,Infosys,Bangalore,"java, spring boot, sql, mysql, git, rest api","Develop Java backend applications and REST APIs."
13,React Developer,TCS,Chennai,"html, css, javascript, react, git","Develop modern frontend applications using React."
14,Angular Developer,Wipro,Bangalore,"html, css, javascript, angular, typescript","Build enterprise frontend applications."
15,Node.js Developer,Accenture,Hyderabad,"javascript, node.js, express.js, mongodb, rest api","Develop server-side applications using Node.js."
16,Django Developer,Tech Mahindra,Pune,"python, django, postgresql, rest api, git","Build web applications and REST services using Django."
17,Spring Boot Developer,Cognizant,Chennai,"java, spring boot, hibernate, mysql, rest api","Develop enterprise backend applications."
18,Full Stack Java Developer,Capgemini,Bangalore,"java, spring boot, html, css, javascript, mysql","Develop complete Java-based web applications."
19,Full Stack Python Developer,HCL,Hyderabad,"python, django, html, css, javascript, mysql","Build full-stack Python web applications."
20,Software Developer,LTIMindtree,Pune,"java, python, sql, git, github","Develop and maintain software applications."
21,Junior Software Engineer,Oracle,Hyderabad,"java, sql, database management, git","Develop enterprise software and database solutions."
22,Associate Software Engineer,IBM,Bangalore,"java, python, sql, linux, git","Develop software solutions for enterprise systems."
23,Application Developer,Accenture,Chennai,"java, spring, sql, oracle, git","Develop and support business applications."
24,Software Engineer,TCS,Hyderabad,"java, python, data structures, algorithms, sql","Develop software applications using core programming concepts."
25,Graduate Engineer Trainee,Wipro,Bangalore,"java, python, sql, git, oop","Work on software development and engineering tasks."
26,Web Application Developer,HCL,Chennai,"html, css, javascript, bootstrap, mysql","Develop and maintain web applications."
27,UI Developer,Tech Mahindra,Hyderabad,"html, css, javascript, react, bootstrap","Develop responsive user interfaces."
28,React Frontend Engineer,Accenture,Bangalore,"javascript, react, typescript, html, css, git","Build responsive React frontend applications."
29,Frontend Engineer,Cognizant,Pune,"html5, css3, javascript, react, git","Create interactive and responsive web interfaces."
30,Web UI Developer,Capgemini,Chennai,"html, css, javascript, bootstrap, jquery","Develop browser-based user interfaces."
31,Backend Engineer,IBM,Hyderabad,"java, spring boot, mysql, rest api, git","Build backend services and APIs."
32,API Developer,Oracle,Bangalore,"java, rest api, spring boot, sql, postman","Develop and test enterprise APIs."
33,REST API Developer,HCL,Hyderabad,"python, flask, rest api, json, mysql","Develop RESTful APIs using Python."
34,Microservices Developer,Infosys,Pune,"java, spring boot, microservices, docker, git","Develop distributed microservice applications."
35,Java Application Developer,TCS,Chennai,"java, jsp, servlets, jdbc, mysql","Develop Java web applications."
36,J2EE Developer,Tech Solutions,Hyderabad,"java, jsp, servlets, jdbc, mysql, tomcat","Develop Java enterprise web applications."
37,Database Developer,Accenture,Bangalore,"sql, mysql, oracle, pl/sql, database design","Develop and maintain relational database solutions."
38,SQL Developer,Cognizant,Hyderabad,"sql, mysql, oracle, pl/sql","Write queries, procedures and database solutions."
39,MySQL Developer,Wipro,Pune,"mysql, sql, database design, database testing","Develop and maintain MySQL databases."
40,Oracle Developer,Capgemini,Chennai,"oracle, sql, pl/sql, database management","Develop Oracle database applications."
41,PostgreSQL Developer,IBM,Bangalore,"postgresql, sql, python, database design","Develop PostgreSQL database solutions."
